,Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
0,1.0,C,Will Smith,29.0,63.0,271.0,238.0,36.0,66.0,16.0,1.0,10.0,44.0,0.0,1.0,24.0,43.0,0.277,0.343,0.479,0.822,132.0,114.0,5.0,3.0,0.0,6.0,3.0,smithwi05
1,2.0,1B,Freddie Freeman*,34.0,75.0,330.0,272.0,48.0,81.0,20.0,2.0,10.0,43.0,3.0,2.0,47.0,52.0,0.298,0.409,0.496,0.905,158.0,135.0,7.0,7.0,0.0,4.0,7.0,freemfr01
2,3.0,2B,Gavin Lux*,26.0,57.0,207.0,194.0,20.0,41.0,7.0,2.0,1.0,17.0,3.0,0.0,13.0,44.0,0.211,0.261,0.284,0.544,56.0,55.0,5.0,0.0,0.0,0.0,0.0,luxga01
3,4.0,SS,Mookie Betts (10-day IL),31.0,72.0,331.0,283.0,50.0,86.0,16.0,3.0,10.0,40.0,9.0,1.0,47.0,34.0,0.304,0.405,0.488,0.892,154.0,138.0,5.0,1.0,0.0,0.0,0.0,bettsmo01
4,5.0,3B,Max Muncy* (10-day IL),33.0,40.0,167.0,139.0,24.0,31.0,8.0,0.0,9.0,28.0,0.0,0.0,21.0,50.0,0.223,0.323,0.475,0.798,125.0,66.0,1.0,2.0,0.0,5.0,2.0,muncyma01
5,6.0,LF,Teoscar Hernández,31.0,75.0,317.0,286.0,41.0,73.0,15.0,1.0,18.0,54.0,4.0,2.0,27.0,90.0,0.255,0.326,0.503,0.829,133.0,144.0,4.0,3.0,0.0,0.0,1.0,hernate01
6,7.0,CF,Andy Pages,23.0,55.0,223.0,202.0,34.0,53.0,9.0,0.0,8.0,21.0,1.0,2.0,13.0,60.0,0.262,0.318,0.426,0.744,111.0,86.0,6.0,5.0,0.0,3.0,0.0,pagesan01
7,8.0,RF,Jason Heyward*,34.0,29.0,93.0,80.0,14.0,20.0,5.0,1.0,4.0,15.0,2.0,0.0,9.0,17.0,0.25,0.344,0.488,0.832,135.0,39.0,2.0,3.0,0.0,1.0,0.0,heywaja01
8,9.0,DH,Shohei Ohtani*,29.0,72.0,327.0,288.0,57.0,91.0,20.0,2.0,20.0,49.0,16.0,1.0,33.0,64.0,0.316,0.388,0.608,0.995,180.0,175.0,6.0,2.0,0.0,2.0,1.0,ohtansh01
9,10.0,3B,Enrique Hernández,32.0,53.0,162.0,146.0,11.0,29.0,3.0,0.0,4.0,11.0,0.0,0.0,15.0,34.0,0.199,0.272,0.301,0.573,64.0,44.0,5.0,0.0,0.0,1.0,0.0,hernaen02
10,11.0,IF,Miguel Rojas,35.0,44.0,125.0,117.0,16.0,34.0,10.0,0.0,3.0,15.0,3.0,0.0,8.0,11.0,0.291,0.336,0.453,0.789,123.0,53.0,4.0,0.0,0.0,0.0,0.0,rojasmi02
11,12.0,CF,James Outman* (40-man),27.0,36.0,124.0,109.0,10.0,16.0,4.0,0.0,3.0,10.0,2.0,1.0,13.0,40.0,0.147,0.25,0.266,0.516,48.0,29.0,0.0,2.0,0.0,0.0,0.0,outmaja01
12,13.0,LF,Chris Taylor,33.0,40.0,109.0,95.0,7.0,11.0,1.0,1.0,1.0,9.0,1.0,1.0,10.0,42.0,0.116,0.213,0.179,0.392,14.0,17.0,3.0,2.0,1.0,1.0,0.0,tayloch03
13,14.0,C,Austin Barnes,34.0,22.0,68.0,58.0,3.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,16.0,0.207,0.303,0.224,0.527,54.0,13.0,1.0,0.0,2.0,0.0,0.0,barneau01
14,15.0,LF,Miguel Vargas,24.0,9.0,27.0,23.0,6.0,7.0,4.0,0.0,1.0,5.0,1.0,0.0,3.0,5.0,0.304,0.37,0.609,0.979,174.0,14.0,0.0,0.0,0.0,1.0,0.0,vargami01
15,16.0,3B,Cavan Biggio*,29.0,5.0,18.0,14.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.214,0.353,0.214,0.567,67.0,3.0,0.0,1.0,0.0,0.0,0.0,biggica01
16,17.0,OF,Taylor Trammell*,26.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,trammta01
17,18.0,P,Michael Grove (15-day IL),27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,grovemi01
18,19.0,P,Elieser Hernández,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,hernael01
19,20.0,P,Eduardo Salazar,26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,salazed01
20,21.0,P,Nick Ramirez* (40-man),34.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,ramirni01
21,22.0,P,Landon Knack* (40-man),26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,knackla01
22,23.0,P,Yoshinobu Yamamoto (15-day IL),25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,yamamyo01
23,24.0,P,Nabil Crismatt,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,crismna01
24,25.0,P,Gavin Stone,25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,stonega01
25,26.0,P,Gus Varland* (40-man),27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,varlagu01
26,27.0,P,Anthony Banda*,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,bandaan01
27,28.0,P,Kyle Hurt (60-day IL),26.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,hurtky01
28,29.0,P,Walker Buehler,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,buehlwa01
29,30.0,P,Blake Treinen,36.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,treinbl01
30,31.0,P,Yohan Ramírez,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,ramiryo01
31,32.0,P,Joe Kelly (60-day IL),36.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,kellyjo05
32,33.0,P,J.P. Feyereisen,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,feyerjo01
33,34.0,P,James Paxton*,35.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,paxtoja01
34,35.0,P,Bobby Miller* (15-day IL),25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,millebo06
35,36.0,P,Connor Brogdon (60-day IL),29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,brogdco01
36,37.0,P,Daniel Hudson,37.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,hudsoda01
37,38.0,P,Ryan Brasier (60-day IL),36.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,brasiry01
38,39.0,P,Alex Vesia*,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,vesiaal01
39,40.0,P,Dinelson Lamet,31.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,lametdi01
40,41.0,P,Ryan Yarbrough,32.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,yarbrry01
41,42.0,P,Evan Phillips,29.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,phillev01
42,43.0,P,Tyler Glasnow*,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,glasnty01
43,44.0,P,Ricky Vanasco (7-day IL),25.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,vanasri01
44,45.0,P,Michael Petersen,30.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,petermi01
45,,,Team Totals,30.3,75.0,2905.0,2550.0,378.0,654.0,139.0,13.0,102.0,364.0,45.0,11.0,293.0,609.0,0.256,0.337,0.441,0.779,121.0,1125.0,54.0,31.0,3.0,24.0,14.0,-9999
46,,,Rank in 15 NL teams,,,,2.0,1.0,2.0,2.0,3.0,1.0,,8.0,5.0,1.0,8.0,3.0,1.0,1.0,1.0,,1.0,,6.0,,4.0,,-9999
